ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
270,248,106251,0,0.07633318558405289,0.02569237990363974,0.5314017534255981,0.0,0.0
271,248,106501,0,0.013362249929793478,0.004493255402555787,0.02059541642665863,0.0,0.0
272,248,106751,0,0.07585515137840297,0.025526229873526797,0.2933748960494995,0.0,0.0
273,248,107001,0,0.013869874085035226,0.004663849183939859,0.01656411774456501,0.0,0.0
274,248,107251,0,0.014732369265689507,0.004954095427174545,0.016747422516345978,0.0,0.0
275,248,107501,0,0.01389427119045729,0.004672524252166641,0.02006591483950615,0.0,0.0
276,248,107751,0,0.014698784437788435,0.004939769872561878,0.016956422477960587,0.0,0.0
277,248,108001,0,0.014394059685946568,0.00483766677884447,0.018026581034064293,0.0,0.0
278,248,108251,0,0.014858688208952453,0.004993320624517735,0.017198247835040092,0.0,0.0
279,248,108501,0,0.01497140933416739,0.005031418766110062,0.016690978780388832,0.0,0.0
280,248,108751,0,0.013139149010135763,0.00441539372731049,0.01779565028846264,0.0,0.0
281,248,109001,0,0.013793247565644918,0.00463695243689149,0.020403215661644936,0.0,0.0
282,248,109251,0,0.014647004535442515,0.0049232593675344926,0.016760095953941345,0.0,0.0
283,248,109501,0,0.013690145956126484,0.004602098016367827,0.014428846538066864,0.0,0.0
284,248,109751,0,0.013659657026307845,0.004592809593363669,0.018210947513580322,0.0,0.0
285,248,110001,0,0.014677727698123935,0.004935752991572841,0.016858462244272232,0.0,0.0
286,248,110251,0,0.014376890841806768,0.004833590777589932,0.022343343123793602,0.0,0.0
287,248,110501,0,0.014800146961926481,0.00497612725919152,0.01835543103516102,0.0,0.0
288,248,110751,0,0.014361765361441917,0.004827350778507553,0.017812538892030716,0.0,0.0
289,248,111001,0,0.013611615344834065,0.00457513856869604,0.01946859061717987,0.0,0.0
290,290,111293,0,0.3754643551286315,0.10860576772227369,2.351349353790283,0.0,0.0
291,292,111587,0,0.5077178753941718,0.14642387761127232,3.300959587097168,0.0,0.0
292,296,111885,0,0.5633161911326039,0.16014784186857445,2.814746379852295,0.0,0.0
293,373,112260,0,1.5443173495091573,0.34868569257592685,3.7137649059295654,0.0,0.0
294,248,112510,0,0.10319699132464935,0.03475611696370423,0.9673904776573181,0.0,0.0
295,1289,113801,0,170.67356593653324,13.070589064413197,32.19410705566406,0.0,0.0
296,565,114368,0,5.333944549585798,0.8837927292801895,3.266303539276123,0.0,0.0
297,248,114618,0,0.014826008743939066,0.004986556086570941,0.01636670157313347,0.0,0.0
298,248,114868,0,0.01554691407872701,0.005228994475351834,0.015247873961925507,0.0,0.0
299,1667,116537,0,260.8368797308044,14.855182160915701,44.61878967285156,0.0,0.0
300,345,116884,0,3.1168681698943863,0.8892808686889138,7.98114013671875,0.0,0.0
301,365,117251,0,4.9694697474169525,1.446096032525872,8.111161231994629,0.0,0.0
302,1749,119002,0,372.5402429625811,19.917096892128725,55.40245056152344,0.0,0.0
303,424,119428,0,116.83310010914715,27.56205481194857,40.74887466430664,0.0,0.0
304,306,119736,0,1.6532697234750813,0.4821168235531432,6.50960111618042,0.0,0.0
305,307,120045,0,1.86462196523111,0.545517120094994,6.321942329406738,0.0,0.0
306,306,120353,0,1.5382502849047908,0.44222662898912446,4.52225399017334,0.0,0.0
307,745,121100,0,75.5288791392786,13.703022568328182,38.730106353759766,0.0,0.0
308,305,121407,0,1.6351143973851963,0.4726266334362215,4.563246250152588,0.0,0.0
309,304,121713,0,1.5057907645506443,0.43341817214325984,4.516378879547119,0.0,0.0
310,300,122015,0,1.2704904208294863,0.36687125265341214,4.030541896820068,0.0,0.0
311,301,122318,0,1.377184135778845,0.3987694952538188,4.31524658203125,0.0,0.0
312,303,122623,0,1.533283843190361,0.4425092451362283,4.191079616546631,0.0,0.0
313,354,122979,0,91.45874174599243,26.241117047679367,41.430904388427734,0.0,0.0
314,306,123287,0,10.76644234078859,3.196343751668643,11.355628967285156,0.0,0.0
315,248,123537,0,0.0031697183012518388,0.0010651761106219642,0.004790183622390032,0.0,0.0
316,248,123787,0,0.006211534521556325,0.002088698677506463,0.005349323153495789,0.0,0.0
317,248,124037,0,0.004096274769089844,0.0013774356645714556,0.005216875579208136,0.0,0.0
318,248,124287,0,0.0034895880947981876,0.0011732201529969556,0.00585523433983326,0.0,0.0
319,248,124537,0,0.0031527806565017913,0.0010601716452466434,0.005213296506553888,0.0,0.0
320,248,124787,0,0.003250009281365057,0.001092609061860487,0.004958714824169874,0.0,0.0
321,248,125037,0,0.003602369083192105,0.0012109975220570754,0.005540379323065281,0.0,0.0
322,248,125287,0,0.006399363453368618,0.0021512384267724327,0.005326379556208849,0.0,0.0
323,248,125537,0,0.006472320056890421,0.002176363733181666,0.005945220123976469,0.0,0.0
324,248,125787,0,0.006495540255074662,0.002183858420692324,0.005479032173752785,0.0,0.0
325,248,126037,0,0.0062865406045658455,0.002113004073180491,0.005207973066717386,0.0,0.0
326,248,126287,0,0.006568905350346547,0.002209429097826116,0.006009299773722887,0.0,0.0
327,248,126537,0,0.0059897494394400685,0.0020147503455518745,0.0050849709659814835,0.0,0.0
328,248,126787,0,0.004019242983814534,0.0013518264707477834,0.005187960807234049,0.0,0.0
329,248,127037,0,0.0061138407317180045,0.002055876844326943,0.005846261978149414,0.0,0.0
