ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1
82,248,39255,0,0.020316254465731546,0.00682920891150359,0.021579397842288017,0.0,168.872,
83,248,39505,0,0.016723527303498503,0.005623098981525418,0.017780950292944908,0.0,168.872,
84,248,39755,0,0.01380893757943813,0.004644301004220559,0.01371236052364111,0.0,168.872,
85,248,40005,0,0.013931939011906916,0.004686475112506624,0.014452669769525528,0.0,168.872,
86,248,40255,0,0.014913338679036728,0.005015621596436587,0.01764976605772972,0.0,168.872,
87,248,40505,0,0.014560084536736606,0.004894087202985482,0.01565704122185707,0.0,168.872,
88,248,40755,0,0.015785671632551096,0.0053045307808309685,0.01948406733572483,0.0,168.872,
89,248,41005,0,0.014523332120696352,0.004880234741581409,0.020175078883767128,0.0,168.872,
90,248,41255,0,0.017952961319936185,0.0060332948698722305,0.01851963810622692,0.0,168.872,
91,248,41505,0,0.013537846267525912,0.00455088267200711,0.0163621436804533,0.0,168.872,
92,248,41755,0,0.014974633520059377,0.005032879058431248,0.021063227206468582,0.0,168.872,
93,248,42005,0,0.014966716280625018,0.005029926550436827,0.01585766114294529,0.0,168.872,
94,248,42255,0,0.013676165401557527,0.00459717571562402,0.015901632606983185,0.0,168.872,
95,249,42506,0,57.99211640749649,22.692197112398816,41.22671127319336,0.0,168.872,
96,1566,44074,0,769.0683289788419,43.972029443790255,68.16848754882812,0.0,168.872,
97,784,44860,0,390.95121960397404,45.10875691966512,60.139427185058594,0.0,168.872,
98,125,44987,0,12.623655170400106,9.541664513818919,14.875542640686035,0.0,168.872,
99,77,45066,0,1.8090143237733387,2.1254817182122574,5.287802696228027,0.0,168.872,
100,410,45478,0,12.473235681388381,2.9805125200944573,15.507590293884277,0.0,168.872,
101,3122,48602,0,1619.2068160250246,45.46271882324929,68.69196319580078,0.0,168.872,879.896
102,248,48852,0,0.221175132408939,0.07445923898804692,0.6413037776947021,0.0,879.896,
103,248,49102,0,0.17523269757585674,0.05908773283637504,0.2643979489803314,0.0,879.896,
104,414,49518,0,13.0776951337503,3.2669167486539648,14.658018112182617,0.0,879.896,
105,762,50282,0,347.1611050028114,39.70465031658389,67.23435974121094,0.0,879.896,
106,2331,52615,0,1239.1388715433084,47.07502985107966,68.72552490234375,0.0,879.896,
107,54,52671,0,1.537083596573734,2.529320066204053,6.132992267608643,0.0,879.896,
108,99,52772,0,1.547189112081008,1.3912871056048182,3.9453461170196533,0.0,879.896,
109,274,53048,0,31.991481495553376,11.390366148447065,18.4414005279541,0.0,879.896,
110,1785,54835,0,863.8294706517502,42.38079675795466,68.37814331054688,0.0,879.896,
111,1347,56184,0,738.6603134846179,50.470592992777476,72.28492736816406,0.0,879.896,
112,1758,57944,0,855.6665255044047,42.77150655242448,70.1613998413086,0.0,879.896,
113,1361,59307,0,761.5380562426824,50.40147358650399,69.94658660888672,0.0,879.896,
114,406,59715,0,8.629788104569359,2.1258402244133987,11.640488624572754,0.0,879.896,
